producto.x;cod_tcac;producto_tcac;producto.y
trucha;NA;NA;NA
tubérculos otros;NA;NA;NA
uchuva;NA;NA;NA
uva importada;C085;uva importada;uva importada
uva isabela;C086;uva isabela;uva isabela
uva nacional;C085;uva red globe nacional;uva red globe nacional
verduras y hortalizas otras;NA;NA;NA
yuca;B107;yuca ica;yuca ica
zanahoria;B110;zanahoria;zanahoria
zapote;NA;NA;NA
aguacate;C002;aguacate papelillo;aguacate papelillo
banano;C010;banano criollo;banano criollo
guayaba;C032;guayaba pera;guayaba pera
mandarina;C050;mandarina arrayana;mandarina arrayana
manzana royal gala;C054;manzana royal gala importada;manzana royal gala importada
mora de castilla;C061;mora de castilla;mora de castilla
naranja;C062;naranja sweet;naranja sweet
papa negra;NA;NA;NA
piña;C072;piña gold;piña gold
tomate;B103;tomate chonto;tomate chonto
